City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,kangding,30.0513,101.9603,0.16,64,27,2.31,CN,1707081718
83,kharan,28.5833,65.4167,11.53,35,0,3.32,PK,1707081872
84,santa terezinha,-29.9002,-50.0904,24.31,88,69,2.39,BR,1707081872
85,conde,-7.2597,-34.9075,28.7,74,20,5.66,BR,1707081634
86,tiksi,71.6872,128.8694,-33.46,100,95,0.45,RU,1707081624
87,bac lieu,9.285,105.7244,24.43,89,24,1.51,VN,1707081872
88,bria,6.5423,21.9863,25.24,25,58,2.37,CF,1707081872
89,polyarnyy,69.1989,33.4478,-11.67,85,100,7.03,RU,1707081719
90,kununurra,-15.7667,128.7333,26.99,94,68,2.57,AU,1707081623
91,utrik,11.2278,169.8474,25.91,73,58,7.18,MH,1707081653
92,trincomalee,8.5711,81.2335,26.52,82,88,5.58,LK,1707081873
93,port alfred,-33.5906,26.891,23.34,84,98,3.78,ZA,1707081672
94,marshfield,44.6689,-90.1718,11.38,35,0,1.54,US,1707081590
95,yeppoon,-23.1333,150.7333,25.88,66,84,2.63,AU,1707081873
96,tamanrasset,22.785,5.5228,10.89,18,0,6.13,DZ,1707081873
97,kolda,12.8833,-14.95,27.17,50,0,0.0,SN,1707081874
98,hobyo,5.3505,48.5268,25.63,78,42,7.86,SO,1707081666
99,papatowai,-46.5619,169.4708,14.92,95,99,2.97,NZ,1707081656
100,pont rouge,48.8833,-72.0825,-6.84,94,94,0.89,CA,1707081874
101,magistral'nyy,56.1725,107.4458,-20.35,100,85,1.53,RU,1707081696
102,sitka,57.0531,-135.33,3.94,93,100,3.6,US,1707081694
103,sinabang,2.4803,96.3801,26.69,81,74,1.09,ID,1707081499
104,ad dawadimi,24.5077,44.3924,11.64,29,88,7.67,SA,1707081532
105,zdvinsk,54.7021,78.661,-6.67,89,100,6.92,RU,1707081875
106,kidal,18.4411,1.4078,18.23,11,0,5.3,ML,1707081660
107,lebu,-37.6167,-73.65,17.74,70,0,5.21,CL,1707081506
108,qaqortoq,60.7167,-46.0333,-21.78,68,0,2.73,GL,1707081638
109,vadso,70.0744,29.7487,-5.91,79,75,8.23,NO,1707081671
110,gereida,11.2811,25.1414,22.29,16,9,6.67,SD,1707081875
111,majagual,8.5389,-74.6204,32.52,58,84,1.47,CO,1707081875
112,vorgashor,67.5833,63.95,-16.45,92,100,0.43,RU,1707081660
113,bandundu,-3.3167,17.3667,26.15,73,97,1.82,CD,1707081876
114,berezovyy,51.6667,135.7,-23.15,95,5,1.35,RU,1707081876
115,santa cruz,-17.8,-63.1667,34.7,43,40,6.17,BO,1707081704
116,tindouf,27.6711,-8.1474,13.71,35,40,5.13,DZ,1707081679
117,kuala belait,4.5833,114.1833,24.09,95,100,1.83,BN,1707081876
118,vilyuchinsk,52.9306,158.4028,-12.82,78,98,4.01,RU,1707081676
119,takehara,34.3383,132.9167,4.02,100,75,3.6,JP,1707081743
120,badagry,6.4167,2.8833,25.68,83,65,3.68,NG,1707081876
121,crane,31.3974,-102.3501,16.73,14,0,12.33,US,1707081668
122,nova vicosa,-17.8919,-39.3719,26.57,77,27,3.47,BR,1707081701
123,horta,38.5333,-28.6333,16.8,94,75,8.05,PT,1707081877
